Date,Province,Total Cases,Total Deaths,Total Recovered,Island
3/18/2020,,227,19,11,
3/18/2020,Jawa Barat,24,3,67,Jawa
3/18/2020,Jawa Tengah,11,12,15,Jawa
3/18/2020,Jawa Timur,18,33,337,Jawa
3/18/2020,Kalimantan Timur,7,0,3,Kalimantan
3/18/2020,Riau,1,0,1,Sumatera
3/18/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/18/2020,Sumatera Utara,1,1,10,Sumatera
3/19/2020,Bali,2,2,3,Nusa Tenggara
3/19/2020,Banten,6,10,150,Jawa
3/19/2020,DKI Jakarta,68,35,84,Jawa
3/19/2020,Daerah Istimewa Yogyakarta,1,0,2,Jawa
3/19/2020,,309,25,15,
3/19/2020,Jawa Barat,29,4,68,Jawa
3/19/2020,Jawa Tengah,13,12,15,Jawa
3/19/2020,Jawa Timur,21,33,337,Jawa
3/19/2020,Kalimantan Timur,7,0,3,Kalimantan
3/19/2020,Kepulauan Riau,1,1,0,Sumatera
3/19/2020,Riau,1,0,1,Sumatera
3/19/2020,Sulawesi Selatan,2,0,5,Sulawesi
3/19/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/19/2020,Sumatera Utara,1,1,10,Sumatera
3/20/2020,Bali,2,2,3,Nusa Tenggara
3/20/2020,Banten,6,13,153,Jawa
3/20/2020,DKI Jakarta,73,38,85,Jawa
3/20/2020,Daerah Istimewa Yogyakarta,2,0,3,Jawa
3/20/2020,,369,32,17,
3/20/2020,Jambi,1,0,4,Sumatera
3/20/2020,Jawa Barat,45,8,68,Jawa
3/20/2020,Jawa Tengah,17,12,16,Jawa
3/20/2020,Jawa Timur,30,33,337,Jawa
3/20/2020,Kalimantan Timur,7,0,3,Kalimantan
3/20/2020,Kepulauan Riau,1,1,0,Sumatera
3/20/2020,Riau,1,0,1,Sumatera
3/20/2020,Sulawesi Selatan,2,0,5,Sulawesi
3/20/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/20/2020,Sumatera Utara,1,1,10,Sumatera
3/21/2020,Bali,2,2,3,Nusa Tenggara
3/21/2020,Banten,6,13,155,Jawa
3/21/2020,DKI Jakarta,81,41,91,Jawa
3/21/2020,Daerah Istimewa Yogyakarta,2,0,3,Jawa
3/21/2020,,450,38,20,
3/21/2020,Jambi,1,0,4,Sumatera
3/21/2020,Jawa Barat,50,8,68,Jawa
3/21/2020,Jawa Tengah,18,13,16,Jawa
3/21/2020,Jawa Timur,39,34,337,Jawa
3/21/2020,Kalimantan Timur,7,0,3,Kalimantan
3/21/2020,Kepulauan Riau,1,1,0,Sumatera
3/21/2020,Riau,1,0,1,Sumatera
3/21/2020,Sulawesi Selatan,2,0,5,Sulawesi
3/21/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/21/2020,Sumatera Utara,1,1,10,Sumatera
3/22/2020,Bali,2,2,3,Nusa Tenggara
3/22/2020,Banten,6,15,155,Jawa
3/22/2020,DKI Jakarta,83,41,94,Jawa
3/22/2020,Daerah Istimewa Yogyakarta,2,0,3,Jawa
3/22/2020,,514,48,29,
3/22/2020,Jambi,1,0,4,Sumatera
3/22/2020,Jawa Barat,53,11,69,Jawa
3/22/2020,Jawa Tengah,19,13,17,Jawa
3/22/2020,Jawa Timur,53,34,337,Jawa
3/22/2020,Kalimantan Timur,7,0,3,Kalimantan
3/22/2020,Kepulauan Riau,1,1,0,Sumatera
3/22/2020,Maluku,1,1,1,Maluku
3/22/2020,Papua,2,1,2,Papua
3/22/2020,Riau,1,0,1,Sumatera
3/22/2020,Sulawesi Selatan,2,0,5,Sulawesi
3/22/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/22/2020,Sumatera Utara,1,1,10,Sumatera
3/23/2020,Bali,2,2,3,Nusa Tenggara
3/23/2020,Banten,6,17,158,Jawa
3/23/2020,DKI Jakarta,83,41,94,Jawa
3/23/2020,Daerah Istimewa Yogyakarta,2,1,3,Jawa
3/23/2020,,579,49,30,
3/23/2020,Jambi,1,0,4,Sumatera
3/23/2020,Jawa Barat,59,15,69,Jawa
3/23/2020,Jawa Tengah,22,13,17,Jawa
3/23/2020,Jawa Timur,55,35,337,Jawa
3/23/2020,Kalimantan Timur,8,0,3,Kalimantan
3/23/2020,Kepulauan Riau,1,1,0,Sumatera
3/23/2020,Maluku,1,1,1,Maluku
3/23/2020,Maluku Utara,1,0,0,Maluku
3/23/2020,Papua,2,1,2,Papua
3/23/2020,Riau,1,0,1,Sumatera
3/23/2020,Sulawesi Selatan,2,1,5,Sulawesi
3/23/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/23/2020,Sumatera Selatan,1,2,1,Sumatera
3/23/2020,Sumatera Utara,1,1,10,Sumatera
3/24/2020,Bali,2,2,3,Nusa Tenggara
3/24/2020,Banten,6,18,161,Jawa
3/24/2020,DKI Jakarta,99,60,97,Jawa
3/24/2020,Daerah Istimewa Yogyakarta,2,1,3,Jawa
3/24/2020,,685,55,30,
3/24/2020,Jambi,1,0,4,Sumatera
3/24/2020,Jawa Barat,61,17,71,Jawa
3/24/2020,Jawa Tengah,25,14,18,Jawa
3/24/2020,Jawa Timur,58,36,337,Jawa
3/24/2020,Kalimantan Timur,8,0,3,Kalimantan
3/24/2020,Kepulauan Riau,1,1,0,Sumatera
3/24/2020,Maluku,1,1,1,Maluku
3/24/2020,Maluku Utara,1,0,0,Maluku
3/24/2020,Papua,2,1,2,Papua
3/24/2020,Riau,1,0,1,Sumatera
3/24/2020,Sulawesi Selatan,4,1,5,Sulawesi
3/24/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/24/2020,Sumatera Selatan,1,2,1,Sumatera
3/24/2020,Sumatera Utara,1,1,10,Sumatera
3/25/2020,Bali,2,2,3,Nusa Tenggara
3/25/2020,Banten,6,19,164,Jawa
3/25/2020,DKI Jakarta,100,61,97,Jawa
3/25/2020,Daerah Istimewa Yogyakarta,3,2,3,Jawa
3/25/2020,,790,58,31,
3/25/2020,Jambi,1,0,4,Sumatera
3/25/2020,Jawa Barat,66,17,72,Jawa
3/25/2020,Jawa Tengah,48,15,19,Jawa
3/25/2020,Jawa Timur,67,36,338,Jawa
3/25/2020,Kalimantan Timur,8,0,3,Kalimantan
3/25/2020,Kepulauan Riau,1,1,0,Sumatera
3/25/2020,Maluku,1,1,1,Maluku
3/25/2020,Maluku Utara,1,0,0,Maluku
3/25/2020,Papua,2,1,2,Papua
3/25/2020,Riau,1,0,1,Sumatera
3/25/2020,Sulawesi Selatan,13,1,5,Sulawesi
3/25/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/25/2020,Sumatera Selatan,1,2,1,Sumatera
3/25/2020,Sumatera Utara,1,1,10,Sumatera
3/26/2020,Aceh,1,0,1,Sumatera
3/26/2020,Bali,2,2,3,Nusa Tenggara
3/26/2020,Banten,6,19,168,Jawa
3/26/2020,DKI Jakarta,157,63,97,Jawa
3/26/2020,Daerah Istimewa Yogyakarta,3,2,3,Jawa
3/26/2020,,893,78,35,
3/26/2020,Jambi,1,0,4,Sumatera
3/26/2020,Jawa Barat,71,18,72,Jawa
3/26/2020,Jawa Tengah,52,15,20,Jawa
3/26/2020,Jawa Timur,80,37,338,Jawa
3/26/2020,Kalimantan Tengah,2,2,39,Kalimantan
3/26/2020,Kalimantan Timur,8,0,3,Kalimantan
3/26/2020,Kepulauan Riau,1,1,0,Sumatera
3/26/2020,Lampung,2,0,0,Sumatera
3/26/2020,Maluku,1,1,1,Maluku
3/26/2020,Maluku Utara,1,0,0,Maluku
3/26/2020,Papua,6,1,2,Papua
3/26/2020,Riau,1,0,1,Sumatera
3/26/2020,Sulawesi Selatan,27,1,5,Sulawesi
3/26/2020,Sulawesi Tengah,1,0,0,Sulawesi
3/26/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/26/2020,Sulawesi Utara,1,1,5,Sulawesi
3/26/2020,Sumatera Barat,3,0,1,Sumatera
3/26/2020,Sumatera Selatan,1,2,1,Sumatera
3/26/2020,Sumatera Utara,1,1,10,Sumatera
3/27/2020,Aceh,4,0,1,Sumatera
3/27/2020,Bali,2,2,3,Nusa Tenggara
3/27/2020,Banten,31,21,171,Jawa
3/27/2020,DKI Jakarta,231,70,103,Jawa
3/27/2020,Daerah Istimewa Yogyakarta,4,2,3,Jawa
3/27/2020,,1046,87,46,
3/27/2020,Jambi,1,0,4,Sumatera
3/27/2020,Jawa Barat,87,21,73,Jawa
3/27/2020,Jawa Tengah,60,16,21,Jawa
3/27/2020,Jawa Timur,83,38,338,Jawa
3/27/2020,Kalimantan Tengah,2,2,39,Kalimantan
3/27/2020,Kalimantan Timur,8,0,3,Kalimantan
3/27/2020,Kepulauan Riau,1,1,0,Sumatera
3/27/2020,Lampung,3,0,0,Sumatera
3/27/2020,Maluku,1,1,1,Maluku
3/27/2020,Maluku Utara,1,0,0,Maluku
3/27/2020,Papua,6,1,2,Papua
3/27/2020,Papua Barat,2,1,1,Papua
3/27/2020,Riau,1,0,1,Sumatera
3/27/2020,Sulawesi Selatan,29,1,5,Sulawesi
3/27/2020,Sulawesi Tengah,1,0,0,Sulawesi
3/27/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/27/2020,Sulawesi Utara,1,1,5,Sulawesi
3/27/2020,Sumatera Barat,5,0,1,Sumatera
3/27/2020,Sumatera Selatan,1,2,1,Sumatera
3/27/2020,Sumatera Utara,1,2,10,Sumatera
3/28/2020,Aceh,5,0,1,Sumatera
3/28/2020,Bali,2,2,3,Nusa Tenggara
3/28/2020,Banten,41,23,178,Jawa
3/28/2020,DKI Jakarta,279,79,112,Jawa
3/28/2020,Daerah Istimewa Yogyakarta,4,2,3,Jawa
3/28/2020,,1155,102,59,
3/28/2020,Jambi,1,0,4,Sumatera
3/28/2020,Jawa Barat,106,24,74,Jawa
3/28/2020,Jawa Tengah,75,18,23,Jawa
3/28/2020,Jawa Timur,97,40,340,Jawa
3/28/2020,Kalimantan Tengah,3,2,39,Kalimantan
3/28/2020,Kalimantan Timur,13,0,3,Kalimantan
3/28/2020,Kalimantan Utara,2,0,0,Kalimantan
3/28/2020,Kepulauan Riau,2,1,2,Sumatera
3/28/2020,Lampung,3,0,0,Sumatera
3/28/2020,Maluku,1,1,1,Maluku
3/28/2020,Maluku Utara,1,0,0,Maluku
3/28/2020,Papua,6,1,2,Papua
3/28/2020,Papua Barat,2,1,1,Papua
3/28/2020,Riau,1,0,1,Sumatera
3/28/2020,Sulawesi Barat,1,0,0,Sulawesi
3/28/2020,Sulawesi Selatan,32,1,5,Sulawesi
3/28/2020,Sulawesi Tengah,2,0,0,Sulawesi
3/28/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/28/2020,Sulawesi Utara,1,1,5,Sulawesi
3/28/2020,Sumatera Barat,5,0,1,Sumatera
3/28/2020,Sumatera Selatan,2,2,1,Sumatera
3/28/2020,Sumatera Utara,1,2,10,Sumatera
3/29/2020,Aceh,5,0,1,Sumatera
3/29/2020,Bali,3,2,3,Nusa Tenggara
3/29/2020,Banten,43,25,180,Jawa
3/29/2020,DKI Jakarta,331,89,112,Jawa
3/29/2020,Daerah Istimewa Yogyakarta,4,2,3,Jawa
3/29/2020,,1285,114,64,
3/29/2020,Jambi,1,0,4,Sumatera
3/29/2020,Jawa Barat,133,27,77,Jawa
3/29/2020,Jawa Tengah,86,21,23,Jawa
3/29/2020,Jawa Timur,109,41,368,Jawa
3/29/2020,Kalimantan Barat,7,2,3,Kalimantan
3/29/2020,Kalimantan Tengah,3,2,39,Kalimantan
3/29/2020,Kalimantan Timur,13,0,3,Kalimantan
3/29/2020,Kalimantan Utara,2,0,0,Kalimantan
3/29/2020,Kepulauan Riau,2,1,2,Sumatera
3/29/2020,Lampung,3,0,0,Sumatera
3/29/2020,Maluku,1,1,1,Maluku
3/29/2020,Maluku Utara,1,0,0,Maluku
3/29/2020,Papua,8,1,2,Papua
3/29/2020,Papua Barat,2,1,1,Papua
3/29/2020,Riau,2,0,1,Sumatera
3/29/2020,Sulawesi Barat,1,0,0,Sulawesi
3/29/2020,Sulawesi Selatan,47,1,5,Sulawesi
3/29/2020,Sulawesi Tengah,2,0,0,Sulawesi
3/29/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/29/2020,Sulawesi Utara,1,1,5,Sulawesi
3/29/2020,Sumatera Barat,5,0,1,Sumatera
3/29/2020,Sumatera Selatan,2,2,1,Sumatera
3/29/2020,Sumatera Utara,1,2,10,Sumatera
3/30/2020,Aceh,5,0,1,Sumatera
3/30/2020,Bali,12,2,3,Nusa Tenggara
3/30/2020,Banten,65,25,183,Jawa
3/30/2020,DKI Jakarta,364,96,112,Jawa
3/30/2020,Daerah Istimewa Yogyakarta,6,2,4,Jawa
3/30/2020,,1414,122,75,
3/30/2020,Jambi,2,0,4,Sumatera
3/30/2020,Jawa Barat,152,30,82,Jawa
3/30/2020,Jawa Tengah,103,22,24,Jawa
3/30/2020,Jawa Timur,116,43,368,Jawa
